GlobalAyahNo,SurahNameEnglish,SurahNameArabic,SurahAyahRefNumeric,SurahAyahRefArabic,ArabicText,Translation,GlyphV1,GlyphV2,PageNoEnglish,PageNoArabic
2556,Surah Al-Anbya,سورة الأنبياء,21:73,٢١:٧٣,وَجَعَلۡنَـٰهُمۡ أَىِٕمَّةࣰ یَهۡدُونَ بِأَمۡرِنَا وَأَوۡحَیۡنَاۤ إِلَیۡهِمۡ فِعۡلَ ٱلۡخَیۡرَ ٰ⁠تِ وَإِقَامَ ٱلصَّلَوٰةِ وَإِیتَاۤءَ ٱلزَّكَوٰةِۖ وَكَانُوا۟ لَنَا عَـٰبِدِینَ ۝٧٣,"And We made them leaders, guiding (men) by Our Command, and We sent them inspiration to do good deeds, to establish regular prayers, and to practise regular charity; and they constantly served Us (and Us only).",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞﭟﭠﭡ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎﱏﱐﱑ,328,٣٢٨
2557,Surah Al-Anbya,سورة الأنبياء,21:74,٢١:٧٤,وَلُوطًا ءَاتَیۡنَـٰهُ حُكۡمࣰا وَعِلۡمࣰا وَنَجَّیۡنَـٰهُ مِنَ ٱلۡقَرۡیَةِ ٱلَّتِی كَانَت تَّعۡمَلُ ٱلۡخَبَـٰۤىِٕثَۚ إِنَّهُمۡ كَانُوا۟ قَوۡمَ سَوۡءࣲ فَـٰسِقِینَ ۝٧٤,"And to Lut, too, We gave Judgment and Knowledge, and We saved him from the town which practised abominations: truly they were a people given to Evil, a rebellious people.",ﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳ,ﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣ,328,٣٢٨
2558,Surah Al-Anbya,سورة الأنبياء,21:75,٢١:٧٥,وَأَدۡخَلۡنَـٰهُ فِی رَحۡمَتِنَاۤۖ إِنَّهُۥ مِنَ ٱلصَّـٰلِحِینَ ۝٧٥,And We admitted him to Our Mercy: for he was one of the Righteous.,ﭴﭵﭶﭷﭸﭹﭺﭻ,ﱤﱥﱦﱧﱨﱩﱪﱫ,328,٣٢٨
2559,Surah Al-Anbya,سورة الأنبياء,21:76,٢١:٧٦,وَنُوحًا إِذۡ نَادَىٰ مِن قَبۡلُ فَٱسۡتَجَبۡنَا لَهُۥ فَنَجَّیۡنَـٰهُ وَأَهۡلَهُۥ مِنَ ٱلۡكَرۡبِ ٱلۡعَظِیمِ ۝٧٦,"(Remember) Noah, when he cried (to Us) aforetime: We listened to his (prayer) and delivered him and his family from great distress.",ﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈ,ﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸ,328,٣٢٨
2560,Surah Al-Anbya,سورة الأنبياء,21:77,٢١:٧٧,وَنَصَرۡنَـٰهُ مِنَ ٱلۡقَوۡمِ ٱلَّذِینَ كَذَّبُوا۟ بِـَٔایَـٰتِنَاۤۚ إِنَّهُمۡ كَانُوا۟ قَوۡمَ سَوۡءࣲ فَأَغۡرَقۡنَـٰهُمۡ أَجۡمَعِینَ ۝٧٧,We helped him against people who rejected Our Signs: truly they were a people given to Evil: so We drowned them (in the Flood) all together.,ﮉﮊﮋﮌﮍﮎﮏﮐﮑﮒﮓﮔﮕﮖ,ﱹﱺﱻﱼﱽﱾﱿﲀﲁﲂﲃﲄﲅﲆ,328,٣٢٨
2561,Surah Al-Anbya,سورة الأنبياء,21:78,٢١:٧٨,وَدَاوُۥدَ وَسُلَیۡمَـٰنَ إِذۡ یَحۡكُمَانِ فِی ٱلۡحَرۡثِ إِذۡ نَفَشَتۡ فِیهِ غَنَمُ ٱلۡقَوۡمِ وَكُنَّا لِحُكۡمِهِمۡ شَـٰهِدِینَ ۝٧٨,"And remember David and Solomon, when they gave judgment in the matter of the field into which the sheep of certain people had strayed by night: We did witness their judgment.",ﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥ,ﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕ,328,٣٢٨
2562,Surah Al-Anbya,سورة الأنبياء,21:79,٢١:٧٩,فَفَهَّمۡنَـٰهَا سُلَیۡمَـٰنَۚ وَكُلًّا ءَاتَیۡنَا حُكۡمࣰا وَعِلۡمࣰاۚ وَسَخَّرۡنَا مَعَ دَاوُۥدَ ٱلۡجِبَالَ یُسَبِّحۡنَ وَٱلطَّیۡرَۚ وَكُنَّا فَـٰعِلِینَ ۝٧٩,"To Solomon We inspired the (right) understanding of the matter: to each (of them) We gave Judgment and Knowledge; it was Our power that made the hills and the birds celebrate Our praises, with David: it was We Who did (all these things).",ﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘ,ﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧ,328,٣٢٨
2563,Surah Al-Anbya,سورة الأنبياء,21:80,٢١:٨٠,وَعَلَّمۡنَـٰهُ صَنۡعَةَ لَبُوسࣲ لَّكُمۡ لِتُحۡصِنَكُم مِّنۢ بَأۡسِكُمۡۖ فَهَلۡ أَنتُمۡ شَـٰكِرُونَ ۝٨٠,"It was We Who taught him the making of coats of mail for your benefit, to guard you from each other´s violence: will ye then be grateful?",ﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣﯤ,ﲨﲩﲪﲫﲬﲭﲮﲯﲰﲱﲲﲳ,328,٣٢٨
2564,Surah Al-Anbya,سورة الأنبياء,21:81,٢١:٨١,وَلِسُلَیۡمَـٰنَ ٱلرِّیحَ عَاصِفَةࣰ تَجۡرِی بِأَمۡرِهِۦۤ إِلَى ٱلۡأَرۡضِ ٱلَّتِی بَـٰرَكۡنَا فِیهَاۚ وَكُنَّا بِكُلِّ شَیۡءٍ عَـٰلِمِینَ ۝٨١,"(It was Our power that made) the violent (unruly) wind flow (tamely) for Solomon, to his order, to the land which We had blessed: for We do know all things.",ﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲﯳﯴ,ﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁﳂﳃ,328,٣٢٨
2565,Surah Al-Anbya,سورة الأنبياء,21:82,٢١:٨٢,وَمِنَ ٱلشَّیَـٰطِینِ مَن یَغُوصُونَ لَهُۥ وَیَعۡمَلُونَ عَمَلࣰا دُونَ ذَ ٰ⁠لِكَۖ وَكُنَّا لَهُمۡ حَـٰفِظِینَ ۝٨٢,"And of the evil ones, were some who dived for him, and did other work besides; and it was We Who guarded them.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜﭝﭞ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌﱍﱎ,329,٣٢٩
2566,Surah Al-Anbya,سورة الأنبياء,21:83,٢١:٨٣,۞ وَأَیُّوبَ إِذۡ نَادَىٰ رَبَّهُۥۤ أَنِّی مَسَّنِیَ ٱلضُّرُّ وَأَنتَ أَرۡحَمُ ٱلرَّ ٰ⁠حِمِینَ ۝٨٣,"And (remember) Job, when He cried to his Lord, ""Truly distress has seized me, but Thou art the Most Merciful of those that are merciful.""",ﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪ,ﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚ,329,٣٢٩
2567,Surah Al-Anbya,سورة الأنبياء,21:84,٢١:٨٤,فَٱسۡتَجَبۡنَا لَهُۥ فَكَشَفۡنَا مَا بِهِۦ مِن ضُرࣲّۖ وَءَاتَیۡنَـٰهُ أَهۡلَهُۥ وَمِثۡلَهُم مَّعَهُمۡ رَحۡمَةࣰ مِّنۡ عِندِنَا وَذِكۡرَىٰ لِلۡعَـٰبِدِینَ ۝٨٤,"So We listened to him: We removed the distress that was on him, and We restored his people to him, and doubled their number,- as a Grace from Ourselves, and a thing for commemoration, for all who serve Us.",ﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼ,ﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬ,329,٣٢٩
2568,Surah Al-Anbya,سورة الأنبياء,21:85,٢١:٨٥,وَإِسۡمَـٰعِیلَ وَإِدۡرِیسَ وَذَا ٱلۡكِفۡلِۖ كُلࣱّ مِّنَ ٱلصَّـٰبِرِینَ ۝٨٥,"And (remember) Isma´il, Idris, and Zul-kifl, all (men) of constancy and patience;",ﭽﭾﭿﮀﮁﮂﮃﮄﮅ,ﱭﱮﱯﱰﱱﱲﱳﱴﱵ,329,٣٢٩
2569,Surah Al-Anbya,سورة الأنبياء,21:86,٢١:٨٦,وَأَدۡخَلۡنَـٰهُمۡ فِی رَحۡمَتِنَاۤۖ إِنَّهُم مِّنَ ٱلصَّـٰلِحِینَ ۝٨٦,We admitted them to Our mercy: for they were of the righteous ones.,ﮆﮇﮈﮉﮊﮋﮌﮍ,ﱶﱷﱸﱹﱺﱻﱼﱽ,329,٣٢٩
2570,Surah Al-Anbya,سورة الأنبياء,21:87,٢١:٨٧,وَذَا ٱلنُّونِ إِذ ذَّهَبَ مُغَـٰضِبࣰا فَظَنَّ أَن لَّن نَّقۡدِرَ عَلَیۡهِ فَنَادَىٰ فِی ٱلظُّلُمَـٰتِ أَن لَّاۤ إِلَـٰهَ إِلَّاۤ أَنتَ سُبۡحَـٰنَكَ إِنِّی كُنتُ مِنَ ٱلظَّـٰلِمِینَ ۝٨٧,"And remember Zun-nun, when he departed in wrath: He imagined that We had no power over him! But he cried through the deptHs of darkness, ""There is no god but thou: glory to thee: I was indeed wrong!""",ﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣﮤﮥ,ﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒﲓﲔﲕ,329,٣٢٩
2571,Surah Al-Anbya,سورة الأنبياء,21:88,٢١:٨٨,فَٱسۡتَجَبۡنَا لَهُۥ وَنَجَّیۡنَـٰهُ مِنَ ٱلۡغَمِّۚ وَكَذَ ٰ⁠لِكَ نُـۨجِی ٱلۡمُؤۡمِنِینَ ۝٨٨,So We listened to him: and delivered him from distress: and thus do We deliver those who have faith.,ﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯ,ﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟ,329,٣٢٩
2572,Surah Al-Anbya,سورة الأنبياء,21:89,٢١:٨٩,وَزَكَرِیَّاۤ إِذۡ نَادَىٰ رَبَّهُۥ رَبِّ لَا تَذَرۡنِی فَرۡدࣰا وَأَنتَ خَیۡرُ ٱلۡوَ ٰ⁠رِثِینَ ۝٨٩,"And (remember) Zakariya, when he cried to his Lord: ""O my Lord! leave me not without offspring, though thou art the best of inheritors.""",ﮰﮱﯓﯔﯕﯖﯗﯘﯙﯚﯛﯜ,ﲠﲡﲢﲣﲤﲥﲦﲧﲨﲩﲪﲫ,329,٣٢٩
2573,Surah Al-Anbya,سورة الأنبياء,21:90,٢١:٩٠,فَٱسۡتَجَبۡنَا لَهُۥ وَوَهَبۡنَا لَهُۥ یَحۡیَىٰ وَأَصۡلَحۡنَا لَهُۥ زَوۡجَهُۥۤۚ إِنَّهُمۡ كَانُوا۟ یُسَـٰرِعُونَ فِی ٱلۡخَیۡرَ ٰ⁠تِ وَیَدۡعُونَنَا رَغَبࣰا وَرَهَبࣰاۖ وَكَانُوا۟ لَنَا خَـٰشِعِینَ ۝٩٠,"So We listened to him: and We granted him Yahya: We cured his wife´s (Barrenness) for him. These (three) were ever quick in emulation in good works; they used to call on Us with love and reverence, and humble themselves before Us.",ﯝﯞﯟﯠﯡﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰﯱﯲ,ﲬﲭﲮﲯﲰﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿﳀﳁ,329,٣٢٩
2574,Surah Al-Anbya,سورة الأنبياء,21:91,٢١:٩١,وَٱلَّتِیۤ أَحۡصَنَتۡ فَرۡجَهَا فَنَفَخۡنَا فِیهَا مِن رُّوحِنَا وَجَعَلۡنَـٰهَا وَٱبۡنَهَاۤ ءَایَةࣰ لِّلۡعَـٰلَمِینَ ۝٩١,"And (remember) her who guarded her chastity: We breathed into her of Our spirit, and We made her and her son a sign for all peoples.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛﭜ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋﱌ,330,٣٣٠
2575,Surah Al-Anbya,سورة الأنبياء,21:92,٢١:٩٢,إِنَّ هَـٰذِهِۦۤ أُمَّتُكُمۡ أُمَّةࣰ وَ ٰ⁠حِدَةࣰ وَأَنَا۠ رَبُّكُمۡ فَٱعۡبُدُونِ ۝٩٢,"Verily, this brotherhood of yours is a single brotherhood, and I am your Lord and Cherisher: therefore serve Me (and no other).",ﭝﭞﭟﭠﭡﭢﭣﭤﭥ,ﱍﱎﱏﱐﱑﱒﱓﱔﱕ,330,٣٣٠
2576,Surah Al-Anbya,سورة الأنبياء,21:93,٢١:٩٣,وَتَقَطَّعُوۤا۟ أَمۡرَهُم بَیۡنَهُمۡۖ كُلٌّ إِلَیۡنَا رَ ٰ⁠جِعُونَ ۝٩٣,"But (later generations) cut off their affair (of unity), one from another: (yet) will they all return to Us.",ﭦﭧﭨﭩﭪﭫﭬﭭ,ﱖﱗﱘﱙﱚﱛﱜﱝ,330,٣٣٠
2577,Surah Al-Anbya,سورة الأنبياء,21:94,٢١:٩٤,فَمَن یَعۡمَلۡ مِنَ ٱلصَّـٰلِحَـٰتِ وَهُوَ مُؤۡمِنࣱ فَلَا كُفۡرَانَ لِسَعۡیِهِۦ وَإِنَّا لَهُۥ كَـٰتِبُونَ ۝٩٤,"Whoever works any act of righteousness and has faith,- His endeavour will not be rejected: We shall record it in his favour.",ﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺ,ﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪ,330,٣٣٠
2578,Surah Al-Anbya,سورة الأنبياء,21:95,٢١:٩٥,وَحَرَ ٰ⁠مٌ عَلَىٰ قَرۡیَةٍ أَهۡلَكۡنَـٰهَاۤ أَنَّهُمۡ لَا یَرۡجِعُونَ ۝٩٥,"But there is a ban on any population which We have destroyed: that they shall not return,",ﭻﭼﭽﭾﭿﮀﮁﮂ,ﱫﱬﱭﱮﱯﱰﱱﱲ,330,٣٣٠
2579,Surah Al-Anbya,سورة الأنبياء,21:96,٢١:٩٦,حَتَّىٰۤ إِذَا فُتِحَتۡ یَأۡجُوجُ وَمَأۡجُوجُ وَهُم مِّن كُلِّ حَدَبࣲ یَنسِلُونَ ۝٩٦,"Until the Gog and Magog (people) are let through (their barrier), and they swiftly swarm from every hill.",ﮃﮄﮅﮆﮇﮈﮉﮊﮋﮌﮍ,ﱳﱴﱵﱶﱷﱸﱹﱺﱻﱼﱽ,330,٣٣٠
2580,Surah Al-Anbya,سورة الأنبياء,21:97,٢١:٩٧,وَٱقۡتَرَبَ ٱلۡوَعۡدُ ٱلۡحَقُّ فَإِذَا هِیَ شَـٰخِصَةٌ أَبۡصَـٰرُ ٱلَّذِینَ كَفَرُوا۟ یَـٰوَیۡلَنَا قَدۡ كُنَّا فِی غَفۡلَةࣲ مِّنۡ هَـٰذَا بَلۡ كُنَّا ظَـٰلِمِینَ ۝٩٧,"Then will the true promise draw nigh (of fulfilment): then behold! the eyes of the Unbelievers will fixedly stare in horror: ""Ah! Woe to us! we were indeed heedless of this; nay, we truly did wrong!""",ﮎﮏﮐﮑﮒﮓﮔﮕﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡ,ﱾﱿﲀﲁﲂﲃﲄﲅﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑ,330,٣٣٠
2581,Surah Al-Anbya,سورة الأنبياء,21:98,٢١:٩٨,إِنَّكُمۡ وَمَا تَعۡبُدُونَ مِن دُونِ ٱللَّهِ حَصَبُ جَهَنَّمَ أَنتُمۡ لَهَا وَ ٰ⁠رِدُونَ ۝٩٨,"Verily ye, (unbelievers), and the (false) gods that ye worship besides Allah, are (but) fuel for Hell! to it will ye (surely) come!",ﮢﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭ,ﲒﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝ,330,٣٣٠
2582,Surah Al-Anbya,سورة الأنبياء,21:99,٢١:٩٩,لَوۡ كَانَ هَـٰۤؤُلَاۤءِ ءَالِهَةࣰ مَّا وَرَدُوهَاۖ وَكُلࣱّ فِیهَا خَـٰلِدُونَ ۝٩٩,"If these had been gods, they would not have got there! but each one will abide therein.",ﮮﮯﮰﮱﯓﯔﯕﯖﯗﯘﯙ,ﲞﲟﲠﲡﲢﲣﲤﲥﲦﲧﲨ,330,٣٣٠
2583,Surah Al-Anbya,سورة الأنبياء,21:100,٢١:١٠٠,لَهُمۡ فِیهَا زَفِیرࣱ وَهُمۡ فِیهَا لَا یَسۡمَعُونَ ۝١٠٠,"There, sobbing will be their lot, nor will they there hear (aught else).",ﯚﯛﯜﯝﯞﯟﯠﯡ,ﲩﲪﲫﲬﲭﲮﲯﲰ,330,٣٣٠
2584,Surah Al-Anbya,سورة الأنبياء,21:101,٢١:١٠١,إِنَّ ٱلَّذِینَ سَبَقَتۡ لَهُم مِّنَّا ٱلۡحُسۡنَىٰۤ أُو۟لَـٰۤىِٕكَ عَنۡهَا مُبۡعَدُونَ ۝١٠١,"Those for whom the good (record) from Us has gone before, will be removed far therefrom.",ﯢﯣﯤﯥﯦﯧﯨﯩﯪﯫ,ﲱﲲﲳﲴﲵﲶﲷﲸﲹﲺ,330,٣٣٠
2585,Surah Al-Anbya,سورة الأنبياء,21:102,٢١:١٠٢,لَا یَسۡمَعُونَ حَسِیسَهَاۖ وَهُمۡ فِی مَا ٱشۡتَهَتۡ أَنفُسُهُمۡ خَـٰلِدُونَ ۝١٠٢,"Not the slightest sound will they hear of Hell: what their souls desired, in that will they dwell.",ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋ,331,٣٣١
2586,Surah Al-Anbya,سورة الأنبياء,21:103,٢١:١٠٣,لَا یَحۡزُنُهُمُ ٱلۡفَزَعُ ٱلۡأَكۡبَرُ وَتَتَلَقَّىٰهُمُ ٱلۡمَلَـٰۤىِٕكَةُ هَـٰذَا یَوۡمُكُمُ ٱلَّذِی كُنتُمۡ تُوعَدُونَ ۝١٠٣,"The Great Terror will bring them no grief: but the angels will meet them (with mutual greetings): ""This is your Day,- (the Day) that ye were promised.""",ﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧ,ﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗ,331,٣٣١
2587,Surah Al-Anbya,سورة الأنبياء,21:104,٢١:١٠٤,یَوۡمَ نَطۡوِی ٱلسَّمَاۤءَ كَطَیِّ ٱلسِّجِلِّ لِلۡكُتُبِۚ كَمَا بَدَأۡنَاۤ أَوَّلَ خَلۡقࣲ نُّعِیدُهُۥۚ وَعۡدًا عَلَیۡنَاۤۚ إِنَّا كُنَّا فَـٰعِلِینَ ۝١٠٤,"The Day that We roll up the heavens like a scroll rolled up for books (completed),- even as We produced the first creation, so shall We produce a new one: a promise We have undertaken: truly shall We fulfil it.",ﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲﭳﭴﭵﭶﭷﭸﭹﭺﭻ,ﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢﱣﱤﱥﱦﱧﱨﱩﱪﱫ,331,٣٣١
2588,Surah Al-Anbya,سورة الأنبياء,21:105,٢١:١٠٥,وَلَقَدۡ كَتَبۡنَا فِی ٱلزَّبُورِ مِنۢ بَعۡدِ ٱلذِّكۡرِ أَنَّ ٱلۡأَرۡضَ یَرِثُهَا عِبَادِیَ ٱلصَّـٰلِحُونَ ۝١٠٥,"Before this We wrote in the Psalms, after the Message (given to Moses): My servants the righteous, shall inherit the earth.""",ﭼﭽﭾﭿﮀﮁﮂﮃﮄﮅﮆﮇﮈ,ﱬﱭﱮﱯﱰﱱﱲﱳﱴﱵﱶﱷﱸ,331,٣٣١
2589,Surah Al-Anbya,سورة الأنبياء,21:106,٢١:١٠٦,إِنَّ فِی هَـٰذَا لَبَلَـٰغࣰا لِّقَوۡمٍ عَـٰبِدِینَ ۝١٠٦,Verily in this (Qur´an) is a Message for people who would (truly) worship Allah.,ﮉﮊﮋﮌﮍﮎﮏ,ﱹﱺﱻﱼﱽﱾﱿ,331,٣٣١
2590,Surah Al-Anbya,سورة الأنبياء,21:107,٢١:١٠٧,وَمَاۤ أَرۡسَلۡنَـٰكَ إِلَّا رَحۡمَةࣰ لِّلۡعَـٰلَمِینَ ۝١٠٧,"We sent thee not, but as a Mercy for all creatures.",ﮐﮑﮒﮓﮔﮕ,ﲀﲁﲂﲃﲄﲅ,331,٣٣١
2591,Surah Al-Anbya,سورة الأنبياء,21:108,٢١:١٠٨,قُلۡ إِنَّمَا یُوحَىٰۤ إِلَیَّ أَنَّمَاۤ إِلَـٰهُكُمۡ إِلَـٰهࣱ وَ ٰ⁠حِدࣱۖ فَهَلۡ أَنتُم مُّسۡلِمُونَ ۝١٠٨,"Say: ""What has come to me by inspiration is that your Allah is One Allah: will ye therefore bow to His Will (in Islam)?""",ﮖﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡﮢ,ﲆﲇﲈﲉﲊﲋﲌﲍﲎﲏﲐﲑﲒ,331,٣٣١
2592,Surah Al-Anbya,سورة الأنبياء,21:109,٢١:١٠٩,فَإِن تَوَلَّوۡا۟ فَقُلۡ ءَاذَنتُكُمۡ عَلَىٰ سَوَاۤءࣲۖ وَإِنۡ أَدۡرِیۤ أَقَرِیبٌ أَم بَعِیدࣱ مَّا تُوعَدُونَ ۝١٠٩,"But if they turn back, Say: ""I have proclaimed the Message to you all alike and in truth; but I know not whether that which ye are promised is near or far.",ﮣﮤﮥﮦﮧﮨﮩﮪﮫﮬﮭﮮﮯﮰﮱ,ﲓﲔﲕﲖﲗﲘﲙﲚﲛﲜﲝﲞﲟﲠﲡ,331,٣٣١
2593,Surah Al-Anbya,سورة الأنبياء,21:110,٢١:١١٠,إِنَّهُۥ یَعۡلَمُ ٱلۡجَهۡرَ مِنَ ٱلۡقَوۡلِ وَیَعۡلَمُ مَا تَكۡتُمُونَ ۝١١٠,"""It is He Who knows what is open in speech and what ye hide (in your hearts).",ﯓﯔﯕﯖﯗﯘﯙﯚﯛ,ﲢﲣﲤﲥﲦﲧﲨﲩﲪ,331,٣٣١
2594,Surah Al-Anbya,سورة الأنبياء,21:111,٢١:١١١,وَإِنۡ أَدۡرِی لَعَلَّهُۥ فِتۡنَةࣱ لَّكُمۡ وَمَتَـٰعٌ إِلَىٰ حِینࣲ ۝١١١,"""I know not but that it may be a trial for you, and a grant of (worldly) livelihood (to you) for a time.""",ﯜﯝﯞﯟﯠﯡﯢﯣﯤ,ﲫﲬﲭﲮﲯﲰﲱﲲﲳ,331,٣٣١
2595,Surah Al-Anbya,سورة الأنبياء,21:112,٢١:١١٢,قَـٰلَ رَبِّ ٱحۡكُم بِٱلۡحَقِّۗ وَرَبُّنَا ٱلرَّحۡمَـٰنُ ٱلۡمُسۡتَعَانُ عَلَىٰ مَا تَصِفُونَ ۝١١٢,"Say: ""O my Lord! judge Thou in truth!"" ""Our Lord Most Gracious is the One Whose assistance should be sought against the blasphemies ye utter!""",ﯥﯦﯧﯨﯩﯪﯫﯬﯭﯮﯯﯰ,ﲴﲵﲶﲷﲸﲹﲺﲻﲼﲽﲾﲿ,331,٣٣١
2596,Surah Al-Hajj,سورة الحج,22:1,٢٢:١,یَـٰۤأَیُّهَا ٱلنَّاسُ ٱتَّقُوا۟ رَبَّكُمۡۚ إِنَّ زَلۡزَلَةَ ٱلسَّاعَةِ شَیۡءٌ عَظِیمࣱ ۝١,O mankind! fear your Lord! for the convulsion of the Hour (of Judgment) will be a thing terrible!,ﭑﭒﭓﭔﭕﭖﭗﭘﭙﭚﭛ,ﱁﱂﱃﱄﱅﱆﱇﱈﱉﱊﱋ,332,٣٣٢
2597,Surah Al-Hajj,سورة الحج,22:2,٢٢:٢,یَوۡمَ تَرَوۡنَهَا تَذۡهَلُ كُلُّ مُرۡضِعَةٍ عَمَّاۤ أَرۡضَعَتۡ وَتَضَعُ كُلُّ ذَاتِ حَمۡلٍ حَمۡلَهَا وَتَرَى ٱلنَّاسَ سُكَـٰرَىٰ وَمَا هُم بِسُكَـٰرَىٰ وَلَـٰكِنَّ عَذَابَ ٱللَّهِ شَدِیدࣱ ۝٢,"The Day ye shall see it, every mother giving suck shall forget her suckling-babe, and every pregnant female shall drop her load (unformed): thou shalt see mankind as in a drunken riot, yet not drunk: but dreadful will be the Wrath of Allah.",ﭜﭝﭞﭟﭠﭡﭢﭣﭤﭥﭦﭧﭨﭩﭪﭫﭬﭭﭮﭯﭰﭱﭲ,ﱌﱍﱎﱏﱐﱑﱒﱓﱔﱕﱖﱗﱘﱙﱚﱛﱜﱝﱞﱟﱠﱡﱢ,332,٣٣٢
2598,Surah Al-Hajj,سورة الحج,22:3,٢٢:٣,وَمِنَ ٱلنَّاسِ مَن یُجَـٰدِلُ فِی ٱللَّهِ بِغَیۡرِ عِلۡمࣲ وَیَتَّبِعُ كُلَّ شَیۡطَـٰنࣲ مَّرِیدࣲ ۝٣,"And yet among men there are such as dispute about Allah, without knowledge, and follow every evil one obstinate in rebellion!",ﭳﭴﭵﭶﭷﭸﭹﭺﭻﭼﭽﭾﭿ,ﱣﱤﱥﱦﱧﱨﱩﱪﱫﱬﱭﱮﱯ,332,٣٣٢
2599,Surah Al-Hajj,سورة الحج,22:4,٢٢:٤,كُتِبَ عَلَیۡهِ أَنَّهُۥ مَن تَوَلَّاهُ فَأَنَّهُۥ یُضِلُّهُۥ وَیَهۡدِیهِ إِلَىٰ عَذَابِ ٱلسَّعِیرِ ۝٤,"About the (Evil One) it is decreed that whoever turns to him for friendship, him will he lead astray, and he will guide him to the Penalty of the Fire.",ﮀﮁﮂﮃﮄﮅﮆﮇﮈﮉﮊﮋ,ﱰﱱﱲﱳﱴﱵﱶﱷﱸﱹﱺﱻ,332,٣٣٢
